Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class
anti_modi,2,0.724971,2.11162,3
hindu_hater,2.9,0.747491,4.760047,1
bharat_first,2.9,0.711836,4.262663,1
tech_guru,2.9,0.83019,1.158826,1
global_news,2.9,0.831671,4.972986,1
truth_seeker,2.3,0.931194,2.215237,1
urban_naxal,2.2,0.903663,0.609491,0
modi_supporter,2,0.962324,1.300014,0
data_wizard,2.6,0.880881,1.481325,1
digital_warrior,2.7,0.813821,0.048871,3
left_winged,2.4,0.801699,2.414818,0
right_winged,3,0.824992,4.193116,1
fact_checker,2.7,0.916581,0.158235,1
cyber_guard,2.3,0.863981,2.481828,0
justice_league,3,0.754133,2.616323,1
real_bharatiya,2.1,0.886825,3.012385,0
hindutva_watch,3,0.892914,0.32337,0
fake_news_buster,2.8,0.795889,1.517433,0
media_tracker,2.3,0.708337,0.313541,2
truth_patriot,2.1,0.977413,4.533879,2
rebel_voice,2.3,0.855343,4.603376,1
anti_fake_news,3,0.930467,1.72295,0
the_analyst,2.9,0.948522,4.54479,3
news_junkie,2.3,0.742962,2.036237,0
data_cruncher,2.6,0.979335,3.314743,0
deep_dive,2.6,0.718596,4.229537,2
logic_master,2.9,0.723933,4.149062,1
troll_hunter,2.5,0.811447,0.484998,1
nationalist_123,2.9,0.70308,0.388893,2
activist_pro,2.2,0.956652,5.078759,0
